seed,variant,generation,campaign_wall_s,training_physics_steps,precision,recall,f1,matched,target_notes,actual_notes,solver_warnings
0,adaptive,0,2.1560000000008586,0,0.0,0.0,0,0,12,22,0
0,adaptive,1,14.25,186000,0.0,0.0,0,0,12,14,0
0,adaptive,2,54.0630000000001,372000,0.05555555555555555,0.08333333333333333,0.06666666666666667,1,12,18,0
0,adaptive,3,101.54700000000048,558000,0.058823529411764705,0.08333333333333333,0.06896551724137931,1,12,17,0
0,adaptive,4,139.73500000000058,744000,0.05555555555555555,0.08333333333333333,0.06666666666666667,1,12,18,0
0,adaptive,5,171.92200000000048,930000,0.0625,0.08333333333333333,0.07142857142857144,1,12,16,0
0,adaptive,6,217.64100000000144,1116000,0.14285714285714285,0.16666666666666666,0.15384615384615383,2,12,14,0
0,adaptive,7,271.3600000000006,1302000,0.13333333333333333,0.16666666666666666,0.14814814814814814,2,12,15,0
0,adaptive,8,309.96900000000096,1488000,0.125,0.16666666666666666,0.14285714285714288,2,12,16,0
0,adaptive,9,342.71900000000096,1674000,0.13333333333333333,0.16666666666666666,0.14814814814814814,2,12,15,0
0,adaptive,10,395.9380000000001,1860000,0.14285714285714285,0.16666666666666666,0.15384615384615383,2,12,14,0
0,adaptive,11,447.76600000000144,2046000,0.15384615384615385,0.16666666666666666,0.16,2,12,13,0
0,adaptive,12,480.7970000000005,2232000,0.15384615384615385,0.16666666666666666,0.16,2,12,13,0
0,adaptive,13,513.25,2418000,0.15384615384615385,0.16666666666666666,0.16,2,12,13,0
0,adaptive,14,546.1880000000001,2604000,0.125,0.16666666666666666,0.14285714285714288,2,12,16,0
0,adaptive,15,579.7810000000009,2790000,0.11764705882352941,0.16666666666666666,0.13793103448275862,2,12,17,0
0,adaptive,16,612.9060000000009,2976000,0.14285714285714285,0.16666666666666666,0.15384615384615383,2,12,14,0
0,adaptive,17,646.4530000000013,3162000,0.14285714285714285,0.16666666666666666,0.15384615384615383,2,12,14,0
0,adaptive,18,679.8280000000013,3348000,0.14285714285714285,0.16666666666666666,0.15384615384615383,2,12,14,0
0,adaptive,19,714.219000000001,3534000,0.125,0.16666666666666666,0.14285714285714288,2,12,16,0
0,adaptive,20,746.9850000000006,3720000,0.14285714285714285,0.16666666666666666,0.15384615384615383,2,12,14,0
0,adaptive,21,780.3600000000006,3906000,0.15384615384615385,0.16666666666666666,0.16,2,12,13,0
0,adaptive,22,813.969000000001,4092000,0.125,0.16666666666666666,0.14285714285714288,2,12,16,0
0,adaptive,23,865.9850000000006,4278000,0.13333333333333333,0.16666666666666666,0.14814814814814814,2,12,15,0
0,adaptive,24,915.3130000000001,4464000,0.15384615384615385,0.16666666666666666,0.16,2,12,13,0
0,adaptive,25,950.5310000000009,4650000,0.14285714285714285,0.16666666666666666,0.15384615384615383,2,12,14,0
0,adaptive,26,986.6560000000009,4836000,0.125,0.16666666666666666,0.14285714285714288,2,12,16,0
0,adaptive,27,1030.6560000000009,5022000,0.125,0.16666666666666666,0.14285714285714288,2,12,16,0
0,adaptive,28,1079.938,5208000,0.14285714285714285,0.16666666666666666,0.15384615384615383,2,12,14,0
0,adaptive,29,1115.9220000000005,5394000,0.15384615384615385,0.16666666666666666,0.16,2,12,13,0
0,adaptive,30,1157.594000000001,5580000,0.15384615384615385,0.16666666666666666,0.16,2,12,13,0
0,adaptive,31,1198.4220000000005,5766000,0.16666666666666666,0.16666666666666666,0.16666666666666666,2,12,12,0
0,adaptive,32,1230.7970000000005,5952000,0.13333333333333333,0.16666666666666666,0.14814814814814814,2,12,15,0
0,adaptive,33,1263.4530000000013,6138000,0.16666666666666666,0.16666666666666666,0.16666666666666666,2,12,12,0
0,adaptive,34,1296.4220000000005,6324000,0.16666666666666666,0.16666666666666666,0.16666666666666666,2,12,12,0
0,adaptive,35,1347.1410000000014,6510000,0.16666666666666666,0.16666666666666666,0.16666666666666666,2,12,12,0
0,adaptive,36,1398.5,6696000,0.16666666666666666,0.16666666666666666,0.16666666666666666,2,12,12,0
0,adaptive,37,1436.938,6882000,0.16666666666666666,0.16666666666666666,0.16666666666666666,2,12,12,0
0,adaptive,38,1469.7660000000014,7068000,0.15384615384615385,0.16666666666666666,0.16,2,12,13,0
0,adaptive,39,1501.844000000001,7254000,0.15384615384615385,0.16666666666666666,0.16,2,12,13,0
0,adaptive,40,1534.5,7440000,0.15384615384615385,0.16666666666666666,0.16,2,12,13,0
0,adaptive,41,1577.25,7626000,0.16666666666666666,0.16666666666666666,0.16666666666666666,2,12,12,0
0,adaptive,42,1618.9060000000009,7812000,0.15384615384615385,0.16666666666666666,0.16,2,12,13,0
0,adaptive,43,1650.7810000000009,7998000,0.13333333333333333,0.16666666666666666,0.14814814814814814,2,12,15,0
0,adaptive,44,1685.0160000000014,8184000,0.15384615384615385,0.16666666666666666,0.16,2,12,13,0
0,adaptive,45,1720.0310000000009,8370000,0.14285714285714285,0.16666666666666666,0.15384615384615383,2,12,14,0
0,adaptive,46,1755.1560000000009,8556000,0.16666666666666666,0.16666666666666666,0.16666666666666666,2,12,12,0
0,adaptive,47,1804.75,8742000,0.15384615384615385,0.16666666666666666,0.16,2,12,13,0
0,adaptive,48,1837.313,8928000,0.16666666666666666,0.16666666666666666,0.16666666666666666,2,12,12,0
0,adaptive,49,1869.813,9114000,0.15384615384615385,0.16666666666666666,0.16,2,12,13,0
0,adaptive,50,1902.594000000001,9300000,0.18181818181818182,0.16666666666666666,0.17391304347826086,2,12,11,0
0,adaptive,51,1939.8910000000014,9486000,0.15384615384615385,0.16666666666666666,0.16,2,12,13,0
0,adaptive,52,1973.6410000000014,9672000,0.15384615384615385,0.16666666666666666,0.16,2,12,13,0
0,adaptive,53,2008.3910000000014,9858000,0.16666666666666666,0.16666666666666666,0.16666666666666666,2,12,12,0
0,adaptive,54,2048.4220000000005,10044000,0.18181818181818182,0.16666666666666666,0.17391304347826086,2,12,11,0
0,adaptive,55,2085.563,10230000,0.15384615384615385,0.16666666666666666,0.16,2,12,13,0
0,adaptive,56,2121.3280000000013,10416000,0.16666666666666666,0.16666666666666666,0.16666666666666666,2,12,12,0
0,adaptive,57,2154.8280000000013,10602000,0.15384615384615385,0.16666666666666666,0.16,2,12,13,0
0,adaptive,58,2190.094000000001,10788000,0.16666666666666666,0.16666666666666666,0.16666666666666666,2,12,12,0
0,adaptive,59,2229.3910000000014,10974000,0.15384615384615385,0.16666666666666666,0.16,2,12,13,0
0,adaptive,60,2290.0160000000014,11160000,0.14285714285714285,0.16666666666666666,0.15384615384615383,2,12,14,0
0,adaptive,61,2342.4220000000005,11346000,0.14285714285714285,0.16666666666666666,0.15384615384615383,2,12,14,0
0,adaptive,62,2392.875,11532000,0.16666666666666666,0.16666666666666666,0.16666666666666666,2,12,12,0
0,adaptive,63,2434.813,11718000,0.16666666666666666,0.16666666666666666,0.16666666666666666,2,12,12,0
0,adaptive,64,2478.781000000001,11904000,0.2,0.16666666666666666,0.1818181818181818,2,12,10,0
0,adaptive,65,2529.813,12090000,0.2,0.16666666666666666,0.1818181818181818,2,12,10,0
0,adaptive,66,2581.8280000000013,12276000,0.2222222222222222,0.16666666666666666,0.1904761904761905,2,12,9,0
0,adaptive,67,2616.1410000000014,12462000,0.16666666666666666,0.16666666666666666,0.16666666666666666,2,12,12,0
0,adaptive,68,2658.063,12648000,0.18181818181818182,0.16666666666666666,0.17391304347826086,2,12,11,0
0,adaptive,69,2711.9850000000006,12834000,0.16666666666666666,0.16666666666666666,0.16666666666666666,2,12,12,0
0,adaptive,70,2763.406000000001,13020000,0.16666666666666666,0.16666666666666666,0.16666666666666666,2,12,12,0
0,frozen,0,2.9690000000009604,0,0.0,0.0,0,0,12,22,0
