bodyId,cell_type,kind,region,mean_rate,max_rate,rate_sd,fraction_frames_active,geometry_displayed
152642,Sternotrochanter MN,MN,T3,0.0,0.0,0.0,0.0,True
152696,INXXX466,CPG,T3,9.391728401184082,11.687662124633789,0.8999339938163757,1.0,True
153142,Tr flexor MN,MN,T1,0.0,0.0,0.0,0.0,True
153315,Tr flexor MN,MN,T2,0.0,0.0,0.0,0.0,True
153335,Ti flexor MN,MN,T2,0.0,0.0,0.0,0.0,True
154133,Sternal posterior rotator MN,MN,T3,0.0,0.0,0.0,0.0,True
154769,Sternal posterior rotator MN,MN,T2,0.0,0.0,0.0,0.0,True
154803,ltm MN,MN,T1,18.91265296936035,19.477258682250977,0.3391801118850708,1.0,True
154804,Ta depressor MN,MN,T1,9.57291030883789,9.7188720703125,0.09279739111661911,1.0,True
155216,Acc. tr flexor MN,MN,T2,0.0,0.0,0.0,0.0,True
155218,Tr flexor MN,MN,T2,0.0,0.0,0.0,0.0,True
155633,Tergotr. MN,MN,T1,0.0,0.0,0.0,0.0,True
155853,Sternal adductor MN,MN,T1,0.0,0.0,0.0,0.0,True
156180,Acc. tr flexor MN,MN,T2,0.0,0.0,0.0,0.0,True
156233,Tr flexor MN,MN,T2,0.0,0.0,0.0,0.0,True
156245,IN16B036,CPG,T3,0.5283458232879639,1.7241944074630737,0.3494694232940674,0.14049586776859505,True
156505,MNml76,MN,T2,10.186385154724121,10.186384201049805,1.2704307437161333e-06,1.0,True
156857,Fe reductor MN,MN,T1,0.0,0.0,0.0,0.0,True
157207,Tr flexor MN,MN,T2,0.0,0.0,0.0,0.0,True
157320,Ta levator MN,MN,T1,0.0,0.0,0.0,0.0,True
157432,Sternotrochanter MN,MN,T3,0.0,0.0,0.0,0.0,True
157503,Sternotrochanter MN,MN,T3,0.0,0.0,0.0,0.0,True
157709,MNhl60,MN,T3,0.0,0.0,0.0,0.0,True
158681,Fe reductor MN,MN,T2,0.0,0.0,0.0,0.0,True
158694,Tr flexor MN,MN,T1,0.0,0.0,0.0,0.0,True
158769,Tr flexor MN,MN,T2,1.9988229274749756,6.999441146850586,2.156447410583496,0.5003756574004508,True
158889,ltm2-femur MN,MN,T3,0.0,0.0,0.0,0.0,True
159762,Tergotr. MN,MN,T3,0.0,0.0,0.0,0.0,True
159822,Tr flexor MN,MN,T1,10.984317779541016,10.99310302734375,0.006319372449070215,1.0,True
