experiment_id,condition,comparison,metric,n_pairs,mean_difference,ci_low,ci_high,cohens_dz,p_raw,test,p_holm
A1,tonic,full - no_cpg,motor_rhythm_power,8,0.7290860116481781,0.6709826320409775,0.7763156369328499,8.862483752948407,4.103000166343218e-08,paired two-sided t; descriptive at small n,7.180250291100631e-06
A1,tonic,full - no_delay,motor_rhythm_power,8,0.4437699541449547,0.26501051150262356,0.6236758265644313,1.5830210802457063,0.00287504029871264,paired two-sided t; descriptive at small n,0.3306296343519536
A1,tonic,full - no_dn,motor_rhythm_power,8,0.7290860116481781,0.6709826320409775,0.7763156369328499,8.862483752948407,4.103000166343218e-08,paired two-sided t; descriptive at small n,7.180250291100631e-06
A1,tonic,full - no_inhibition,motor_rhythm_power,8,0.7290860116481781,0.6709826320409775,0.7763156369328499,8.862483752948407,4.103000166343218e-08,paired two-sided t; descriptive at small n,7.180250291100631e-06
A1,tonic,full - randomized,motor_rhythm_power,8,0.7290860116481781,0.6709826320409775,0.7763156369328499,8.862483752948407,4.103000166343218e-08,paired two-sided t; descriptive at small n,7.180250291100631e-06
A2,down_large,full - no_cpg,motor_rhythm_power,8,0.02365223760716617,0.015344953862950206,0.03046948807896115,2.021966795156157,0.0007210743155410851,paired two-sided t; descriptive at small n,0.09013428944263563
A2,down_large,full - no_cpg,key_accuracy,8,0.20833333333333331,0.08333333333333333,0.3229166666666667,1.1343565162162876,0.014890184545737789,paired two-sided t; descriptive at small n,1.0
A2,down_large,full - no_cpg,timing_mae_s,3,-0.0006111111111112011,-0.0020000000000000573,0.0018333333333332286,-0.2877846179189771,0.6675811631314297,paired two-sided t; descriptive at small n,1.0
A2,down_large,full - no_feedback,motor_rhythm_power,8,-7.018400356173515e-05,-0.00041792793199419976,0.0002195045817643404,-0.1503620951915675,0.6833953049533311,paired two-sided t; descriptive at small n,1.0
A2,down_large,full - no_feedback,key_accuracy,8,0.0,0.0,0.0,,1.0,paired two-sided t; descriptive at small n,1.0
A2,down_large,full - no_feedback,timing_mae_s,7,-0.00014285714285714298,-0.00042857142857142893,0.0,-0.3779644730092272,0.3559176837495822,paired two-sided t; descriptive at small n,1.0
A2,down_small,full - no_cpg,motor_rhythm_power,8,0.5100218616425991,0.40114749744534495,0.6232789697125555,2.939242294879269,7.125770673762934e-05,paired two-sided t; descriptive at small n,0.009833563529792849
A2,down_small,full - no_cpg,key_accuracy,8,0.23958333333333331,0.09374999999999999,0.3854166666666667,1.1110055505411902,0.016324408752003063,paired two-sided t; descriptive at small n,1.0
A2,down_small,full - no_cpg,timing_mae_s,3,-0.00047777777777786395,-0.0016666666666667745,0.0018333333333332286,-0.23867903199802826,0.7194213109797052,paired two-sided t; descriptive at small n,1.0
A2,down_small,full - no_feedback,motor_rhythm_power,8,-0.004354417324066162,-0.01931549599394202,0.006662532687187195,-0.2073240198917338,0.5760192099674054,paired two-sided t; descriptive at small n,1.0
A2,down_small,full - no_feedback,key_accuracy,8,0.010416666666666671,0.0,0.031250000000000014,0.35355339059327373,0.3506166628202074,paired two-sided t; descriptive at small n,1.0
A2,down_small,full - no_feedback,timing_mae_s,7,-0.00016190476190475596,-0.0004952380952380724,0.00017142857142856047,-0.32961586209002774,0.41669176433995936,paired two-sided t; descriptive at small n,1.0
A2,up_large,full - no_cpg,motor_rhythm_power,8,0.5413408004678786,0.4966115332208574,0.5900885848328471,7.274014817580647,1.6083335134317106e-07,paired two-sided t; descriptive at small n,2.7180836376995907e-05
A2,up_large,full - no_cpg,key_accuracy,8,0.21875000000000003,0.08333333333333336,0.34375,1.0998361234441258,0.017061929306623074,paired two-sided t; descriptive at small n,1.0
A2,up_large,full - no_cpg,timing_mae_s,8,-0.002903571428571316,-0.0049404761904761115,-0.0006869047619046439,-0.8821203879500246,0.04129245565739878,paired two-sided t; descriptive at small n,1.0
A2,up_large,full - no_feedback,motor_rhythm_power,8,0.0002812892198562622,-0.004539551399648189,0.005320022255182268,0.03608615610978803,0.9215657070284419,paired two-sided t; descriptive at small n,1.0
